company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
D.R. Horton,183,11,17592.9,1618.5,8916,Engineering & Construction,Arlington,TX,no,no,no,yes,194,David V. Auld,https://www.drhorton.com,DHI,27388
HollyFrontier,184,-9,17486.6,772.4,4074,Energy,Dallas,TX,no,no,no,yes,175,Michael C. Jennings,https://www.hollyfrontier.com,HFC,3967.8
Tenneco,185,82,17450,-334,78000,Motor Vehicles & Parts,Lake Forest,IL,no,no,no,no,267,Brian J. Kesseler,https://www.tenneco.com,TEN,292.3
EOG Resources,186,-5,17380,2734.9,2900,Energy,Houston,TX,no,no,no,yes,181,William R. Thomas,https://www.eogresources.com,EOG,20907.4
BD,187,8,17290,1233,70093,Health Care,Franklin Lakes,NJ,no,no,no,yes,195,Thomas E. Polen,https://www.bd.com,BDX,65554
Lincoln National,188,-1,17258,886,11357,Financials,Radnor,PA,no,no,no,yes,187,Dennis R. Glass,https://www.lfg.com,LNC,5142.2
PG&E,189,-6,17129,-7656,23000,Energy,San Francisco,CA,no,no,yes,no,183,Patricia K. Poppe,https://www.pgecorp.com,PCG,4762.8
Salesforce,190,50,17098,126,49000,Technology,San Francisco,CA,no,yes,no,yes,240,Marc R. Benioff,https://www.salesforce.com,CRM,204547
Mastercard,191,19,16883,8118,18600,Business Services,Purchase,NY,no,no,no,yes,210,Michael Miebach,https://www.mastercard.com,MA,333881
General Mills,192,8,16865.2,1752.7,40000,"Food, Beverages & Tobacco",Minneapolis,MN,no,no,no,yes,200,Jeffrey L. Harmening,https://www.generalmills.com,GIS,33837
Molina Healthcare,193,-25,16829,737,10000,Health Care,Long Beach,CA,no,no,no,yes,168,Joseph M. Zubretsky,https://www.molinahealthcare.com,MOH,8500.8
Cognizant Technology Solutions,194,-1,16783,1842,292500,Technology,Teaneck,NJ,no,no,no,yes,193,Brian Humphries,https://www.cognizant.com,CTSH,25495.2
Marsh & McLennan,195,15,16652,1742,76000,Financials,New York,NY,no,no,no,yes,210,Daniel S. Glaser,https://www.mmc.com,MMC,43567
XPO Logistics,196,-16,16648,419,100000,Transportation,Greenwich,CT,no,no,no,yes,180,Bradley S. Jacobs,https://www.xpo.com,XPO,11447
Dominion Energy,197,41,16572,1358,19100,Energy,Richmond,VA,no,no,no,yes,238,Robert M. Blue,https://www.dominionenergy.com,D,58397
Western Digital,198,-46,16569,-754,61800,Technology,San Jose,CA,no,no,no,no,152,David V. Goeckeler,https://www.westerndigital.com,WDC,15766
Gap,199,-13,16383,351,129000,Retailing,San Francisco,CA,no,no,yes,yes,186,Sonia Syngal,https://www.gapinc.com,GPS,2614
Aramark,200,-2,16227.3,448.5,233400,Business Services,Philadelphia,PA,no,no,no,yes,198,John J. Zillmer,https://www.aramark.com,ARMK,9236
Principal Financial,201,18,16222.1,1394.2,17601,Financials,Des Moines,IA,no,no,no,yes,219,Daniel J. Houston,https://www.principal.com,PFG,14748
Ross Stores,202,7,16039.1,1660.9,92500,Retailing,Dublin,CA,no,no,yes,yes,209,Barbara Rentler,https://www.rossstores.com,ROST,30952.3
Colgate-Palmolive,203,-1,15693,2367,34300,Household Products,New York,NY,no,no,no,yes,202,Noel R. Wallace,https://www.colgatepalmolive.com,CL,68745
American Electric Power,204,-12,15561.4,1921.1,17408,Energy,Columbus,OH,no,no,no,yes,192,Nicholas K. Akins,https://www.aep.com,AEP,40084
Nordstrom,205,-9,15524,496,75000,Retailing,Seattle,WA,no,no,no,yes,196,Erik B. Nordstrom,https://shop.nordstrom.com,JWN,5658
Jacobs Engineering Group,206,2,15463.6,848,50000,Engineering & Construction,Dallas,TX,no,no,no,yes,208,Steven J. Demetriou,https://www.jacobs.com,J,14557
Waste Management,207,6,15455,1670,44900,Business Services,Houston,TX,no,no,no,yes,213,James C. Fish Jr.,https://www.wm.com,WM,48621
C.H. Robinson Worldwide,208,-23,15309.5,577,15427,Transportation,Eden Prairie,MN,no,no,no,yes,185,Robert C. Biesterfeld Jr.,https://www.chrobinson.com,CHRW,13432
PPG Industries,209,-4,15146,1243,47600,Chemicals,Pittsburgh,PA,no,no,no,yes,205,Michael H. McGarry,https://www.ppg.com,PPG,34144
Booking Holdings,210,6,15066,4865,26400,Technology,Norwalk,CT,no,no,no,yes,216,Glenn D. Fogel,https://www.bookingholdings.com,BKNG,88465
Omnicom Group,211,-5,14953.7,1339.1,70000,Business Services,New York,NY,no,no,no,yes,206,John D. Wren,https://www.omnicomgroup.com,OMC,11906
Loews,212,14,14931,932,18605,Financials,New York,NY,no,no,no,yes,226,James S. Tisch,https://www.loews.com,L,10023
Ecolab,213,2,14906.3,1558.9,50200,Chemicals,St. Paul,MN,no,no,no,yes,215,Christophe Beck,https://www.ecolab.com,ECL,62336
Stryker,214,19,14884,2083,40000,Health Care,Kalamazoo,MI,no,no,no,yes,233,Kevin A. Lobo,https://www.stryker.com,SYK,92148
Estée Lauder,215,16,14863,1785,48000,Household Products,New York,NY,no,no,no,yes,231,Fabrizio Freda,https://www.elcompanies.com,EL,92289
Goodyear Tire & Rubber,216,-13,14745,-311,63000,Motor Vehicles & Parts,Akron,OH,no,no,no,no,203,Richard J. Kramer,https://www.goodyear.com,GT,1354.2
Truist Financial,217,29,14664,3224,59000,Financials,Charlotte,NC,no,no,no,yes,246,Kelly S. King,https://www.truist.com,TFC,69604
Applied Materials,218,-36,14608,2706,22000,Technology,Santa Clara,CA,no,no,no,yes,182,Gary E. Dickerson,https://www.appliedmaterials.com,AMAT,98603
BlackRock,219,2,14539,4476,16200,Financials,New York,NY,no,no,no,yes,221,Laurence D. Fink,https://www.blackrock.com,BLK,113810
Stanley Black & Decker,220,8,14442.2,955.8,59438,Household Products,New Britain,CT,no,no,no,yes,228,James M. Loree,https://www.stanleyblackanddecker.com,SWK,28209
Freeport-McMoRan,221,-51,14402,-239,27500,Energy,Phoenix,AZ,no,no,no,no,170,Richard C. Adkerson,https://fcx.com,FCX,44996
Texas Instruments,222,-23,14383,5017,29768,Technology,Dallas,TX,no,no,no,yes,199,Richard K. Templeton,https://www.ti.com,TXN,159107
Biogen,223,12,14377.9,5888.5,7400,Health Care,Cambridge,MA,no,no,no,yes,235,Michel Vounatsos,https://www.biogen.com,BIIB,55070.4
Parker-Hannifin,224,-6,14320.3,1512.4,55610,Industrials,Cleveland,OH,no,no,no,yes,218,Thomas L. Williams,https://www.parker.com,PH,16652.5
Reinsurance Group of America,225,26,14300,870,3188,Financials,Chesterfield,MO,no,no,yes,yes,251,Anna Manning,https://www.rgare.com,RGA,5186
Howmet Aerospace,226,1,14192,470,41700,Aerospace & Defense,Pittsburgh,PA,no,no,no,yes,227,John C. Plant/Tolga Oal,https://www.howmet.com,HWM,7000.9
Automatic Data Processing,227,12,14175.2,2292.8,58000,Business Services,Roseland,NJ,no,no,no,yes,239,Carlos A. Rodriguez,https://www.adp.com,ADP,69618
Uber Technologies,228,0,14147,-8506,26900,Technology,San Francisco,CA,yes,no,no,no, ,Dara Khosrowshahi,https://www.uber.com,UBER,48226.1
Illinois Tool Works,229,-15,14109,2521,45000,Industrials,Glenview,IL,no,no,no,yes,214,E. Scott Santi,https://www.itw.com,ITW,64884
DaVita,230,-42,14101.5,811,65000,Health Care,Denver,CO,no,no,no,yes,188,Javier J. Rodriguez,https://www.davita.com,DVA,13476
Discover Financial Services,231,22,13989,2957,17200,Financials,Riverwoods,IL,no,no,no,yes,253,Roger C. Hochschild,https://www.discover.com,DFS,10923.5
Land O&#8217;Lakes,232,-20,13887.7,205.9,8000,"Food, Beverages & Tobacco",Arden Hills,MN,no,no,yes,yes,212,Beth E. Ford,https://www.landolakesinc.com,,
VF,233,19,13870.6,1259.8,75000,Apparel,Greenwood Village,CO,no,no,no,yes,252,Steven E. Rendle,https://www.vfc.com,VFC,32110
Corteva,234,0,13846,-959,21000,"Food, Beverages & Tobacco",Wilmington,DE,yes,no,no,no, ,James C. Collins Jr.,https://www.corteva.com,CTVA,22043
Las Vegas Sands,235,-5,13739,2698,50000,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,yes,no,yes,230,Sheldon G. Adelson,https://www.sands.com,LVS,41576
Textron,236,-7,13630,815,35000,Aerospace & Defense,Providence,RI,no,no,no,yes,229,Scott C. Donnelly,https://www.textron.com,TXT,6071.3
Kellogg,237,-3,13578,960,31000,"Food, Beverages & Tobacco",Battle Creek,MI,no,no,no,yes,234,Steven A. Cahillane,https://www.kelloggcompany.com,K,19812
Guardian Life Ins. Co. of America,238,6,13476.7,679.8,9032,Financials,New York,NY,no,no,no,yes,244,Andrew J. McMahon,https://www.guardianlife.com,,
Qurate Retail,239,-14,13458,-456,25314,Retailing,Englewood,CO,no,no,no,no,225,Michael A. George,https://www.qurateretail.com,QRTEA,2539.6
Core-Mark Holding,240,10,13329.2,57.7,8555,Wholesalers,Westlake,TX,no,no,no,yes,250,Scott E. McPherson,https://www.core-mark.com,CORE,1294.8
Community Health Systems,241,-18,13210,-675,71500,Health Care,Franklin,TN,no,no,no,no,223,Tim L. Hingtgen,https://www.chs.net,CYH,393.6
Kinder Morgan,242,-18,13209,2190,11086,Energy,Houston,TX,no,no,no,yes,224,Steven J. Kean,https://www.kindermorgan.com,KMI,31529.7
BJ's Wholesale Club,243,2,13190.7,187.2,27231,Retailing,Westborough,MA,no,no,no,yes,245,Lee Delaney,https://www.bjs.com,BJ,5720
State Street,244,3,13131,2242,39103,Financials,Boston,MA,no,no,no,yes,247,Ronald P. O&#039;Hanley,https://www.statestreet.com,STT,27066
Ameriprise Financial,245,4,13103,1893,12500,Financials,Minneapolis,MN,no,no,no,yes,249,James M. Cracchiolo,https://www.ameriprise.com,AMP,12601.8
Global Partners,246,8,13081.7,35.9,3860,Wholesalers,Waltham,MA,no,no,no,yes,254,Eric Slifka,https://www.globalp.com,GLP,299.8
United States Steel,247,-25,12937,-630,27500,Materials,Pittsburgh,PA,no,no,no,no,222,David B. Burritt,https://www.ussteel.com,X,1074.3
L Brands,248,-7,12914.2,-366.4,59950,Retailing,Columbus,OH,no,no,no,no,241,Andrew Menslow,https://www.lb.com,LB,3196.7
MGM Resorts International,249,17,12899.7,2049.1,72000,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,yes,266,William J. Hornbuckle IV,https://www.mgmresorts.com,MGM,15366
L3Harris Technologies,250,224,12856,1333,50000,Aerospace & Defense,Melbourne,FL,no,no,no,yes,474,William M. Brown,https://www.l3harris.com,LHX,48000
DISH Network,251,-19,12807.7,1399.5,16000,Telecommunications,Englewood,CO,no,no,no,yes,232,W. Erik Carlson,https://www.dish.com,DISH,10455.8
Lithia Motors,252,13,12672.7,271.5,14320,Retailing,Medford,OR,no,no,no,yes,265,Bryan B. DeBoer,https://www.lithiainvestorrelations.com,LAD,1910
DTE Energy,253,-33,12669,1169,10700,Energy,Detroit,MI,no,no,no,yes,220,Gerardo Norcia,https://www.dteenergy.com,DTE,18289.5
American Family Insurance Group,254,52,12633.2,455.9,13531,Financials,Madison,WI,no,no,no,yes,306,Jack C. Salzwedel,https://www.amfam.com,,
Farmers Insurance Exchange,255,15,12592.5,55.3,10980,Financials,Woodland Hills,CA,no,no,no,yes,270,Jeffrey J. Dailey,https://www.farmers.com,,
Consolidated Edison,256,3,12574,1343,14890,Energy,New York,NY,no,no,no,yes,259,Timothy Cawley,https://www.conedison.com,ED,26034.5
LKQ,257,5,12506.1,541.3,51000,Wholesalers,Chicago,IL,no,no,no,yes,262,Dominick P. Zarcone,https://www.lkqcorp.com,LKQ,6310.7
Sempra Energy,258,11,12443,2197,13969,Energy,San Diego,CA,no,no,no,yes,269,Jeffrey W. Martin,https://www.sempra.com,SRE,35542
Edison International,259,-4,12347,1284,12937,Energy,Rosemead,CA,no,no,no,yes,255,Pedro J. Pizarro,https://www.edisoninvestor.com,EIX,19867.6
CenterPoint Energy,260,39,12301,791,14262,Energy,Houston,TX,no,no,no,yes,299,David J. Lesar,https://www.centerpointenergy.com,CNP,7765.4
Quanta Services,261,22,12112.2,402,40300,Engineering & Construction,Houston,TX,no,no,no,yes,283,Earl C. Austin Jr.,https://www.quantaservices.com,PWR,11008
Murphy USA,262,-5,12101.3,154.8,7250,Retailing,El Dorado,AR,no,no,no,yes,257,R. Andrew Clyde,https://www.murphyusa.com,MUSA,3575
Expedia Group,263,17,12067,565,25400,Retailing,Seattle,WA,no,no,no,yes,280,Peter M. Kern,https://www.expediagroup.com,EXPE,7877.2
Group 1 Automotive,264,8,12043.8,174,15296,Retailing,Houston,TX,no,no,no,yes,272,Earl J. Hesterberg,https://www.group1auto.com,GPI,813.2
Bed Bath & Beyond,265,-7,12028.8,-137.2,62000,Retailing,Union,NJ,no,no,no,no,258,Mark J. Tritton,https://www.bedbathandbeyond.com,BBBY,534.5
Unum Group,266,7,11998.9,1100.3,10300,Financials,Chattanooga,TN,no,no,no,yes,273,Richard P. McKenney,https://www.unum.com,UNM,3046.6
CSX,267,-7,11937,3331,20908,Transportation,Jacksonville,FL,no,no,no,yes,260,James M. Foote,https://www.csx.com,CSX,44161.7
AutoZone,268,13,11863.7,1617.2,75840,Retailing,Memphis,TN,no,no,no,yes,281,William C. Rhodes III,https://www.autozone.com,AZO,19756.2
Pacific Life,269,29,11847,725,3815,Financials,Newport Beach,CA,no,no,no,yes,298,James T. Morris,https://www.pacificlife.com,,
Vistra Energy,270,67,11809,928,5475,Energy,Irving,TX,no,no,no,yes,337,Curtis A. Morgan,https://www.vistraenergy.com,VST,7795.3
Charles Schwab,271,18,11785,3704,19700,Financials,San Francisco,CA,no,no,no,yes,289,Walter W. Bettinger II,https://www.schwab.com,SCHW,109983
Crown Holdings,272,12,11665,510,33043,Materials,Yardley,PA,no,no,no,yes,284,Timothy J. Donahue,https://www.crowncork.com,CCK,7875.8
Ally Financial,273,30,11618,1715,8700,Financials,Detroit,MI,no,no,no,yes,303,Jeffrey J. Brown,https://www.ally.com,ALLY,5402.5
Laboratory Corp. of America (Labcorp),274,4,11554.8,823.8,65000,Health Care,Burlington,NC,no,no,no,yes,278,Adam H. Schechter,https://www.labcorp.com,LH,22394
Live Nation Entertainment,275,17,11548,69.9,18200,Media,Beverly Hills,CA,no,no,no,yes,292,Michael Rapino,https://www.livenationentertainment.com,LYV,16009
Xcel Energy,276,-2,11529,1372,11295,Energy,Minneapolis,MN,no,no,no,yes,274,Benjamin G.S. Fowke III,https://www.xcelenergy.com,XEL,34381
Corning,277,2,11503,960,49500,Industrials,Corning,NY,no,no,no,yes,279,Wendell P. Weeks,https://www.corning.com,GLW,15664.2
W.W. Grainger,278,4,11486,849,24550,Wholesalers,Lake Forest,IL,no,no,no,yes,282,D.G. Macpherson,https://www.grainger.com,GWW,21090
Ball,279,-8,11474,566,18300,Materials,Broomfield,CO,no,no,no,yes,271,John A. Hayes,https://www.ball.com,BLL,30180
Fox,280,0,11389,1595,7700,Media,New York,NY,yes,no,no,yes, ,Lachlan K. Murdoch,https://www.foxcorporation.com,FOXA,14142.9
Universal Health Services,281,12,11378.3,814.9,79050,Health Care,King of Prussia,PA,no,no,no,yes,293,Marc. D Miller,https://www.uhsinc.com,UHS,11193
Baxter International,282,4,11362,1001,50000,Health Care,Deerfield,IL,no,no,no,yes,286,,https://www.baxter.com,BAX,41180.1
Norfolk Southern,283,-6,11296,2722,24587,Transportation,Norfolk,VA,no,no,no,yes,277,James A. Squires,https://www.norfolksouthern.com,NSC,37537.3
Navistar International,284,24,11251,221,12300,Industrials,Lisle,IL,no,no,no,yes,308,Persio V. Lisboa,https://www.navistar.com,NAV,1640.6
Adobe,285,54,11171.3,2951.5,22634,Technology,San Jose,CA,no,no,no,yes,339,Shantanu Narayen,https://www.adobe.com,ADBE,224860
J.C. Penney,286,-25,11167,-268,90000,Retailing,Plano,TX,no,no,no,no,261,Stanley Shashoua,https://www.jcpenney.com,JCP,115.6
Discovery,287,13,11144,2069,9200,Media,Silver Spring,MD,no,no,no,yes,300,David M. Zaslav,https://www.corporate.discovery.com,DISCA,9503.1
Keurig Dr Pepper,288,121,11120,1254,25500,"Food, Beverages & Tobacco",Burlington,MA,no,no,no,yes,409,Robert J. Gamgort,https://www.keurigdrpepper.com,KDP,44962
Leidos Holdings,289,22,11094,667,34000,Technology,Reston,VA,no,no,no,yes,311,Roger A. Krone,https://www.leidos.com,LDOS,15605
IQVIA Holdings,290,15,11088,191,67000,Health Care,Durham,NC,no,no,no,yes,305,Ari Bousbib,https://www.iqvia.com,IQV,36532
Reliance Steel & Aluminum,291,-16,10973.8,701.5,15300,Materials,Los Angeles,CA,no,no,no,yes,275,James D. Hoffman,https://www.rsac.com,RS,8189
Nvidia,292,-24,10918,2796,13775,Technology,Santa Clara,CA,no,yes,no,yes,268,Jensen Huang,https://www.nvidia.com,NVDA,330936
Entergy,293,-5,10878.7,1241.2,13635,Energy,New Orleans,LA,no,no,no,yes,288,Leo P. Denault,https://www.entergy.com,ETR,18870.6
FirstEnergy,294,-31,10850,912,12316,Energy,Akron,OH,no,no,no,yes,263,Steven E. Strah,https://www.firstenergycorp.com,FE,21666.4
eBay,295,0,10800,1786,13300,Technology,San Jose,CA,no,no,no,yes,295,Jamie Iannone,https://www.ebay.com,EBAY,23930.2
Boston Scientific,296,23,10735,4700,36000,Health Care,Marlborough,MA,no,no,no,yes,319,Michael F. Mahoney,https://www.bostonscientific.com,BSX,52495
ODP,297,-12,10647,99,40000,Retailing,Boca Raton,FL,no,no,no,yes,285,Gerry P. Smith,https://www.officedepot.com,ODP,867.7
Molson Coors Beverage,298,-4,10579.4,241.7,17700,"Food, Beverages & Tobacco",Denver,CO,no,no,no,yes,294,Gavin D.K. Hattersley,https://www.molsoncoors.com,TAP,8441
Steel Dynamics,299,-35,10465,671.1,8385,Materials,Fort Wayne,IN,no,yes,no,yes,264,Mark D. Millett,https://www.steeldynamics.com,STLD,8453
Mutual of Omaha Insurance,300,36,10455.7,271.5,6072,Financials,Omaha,NE,no,no,no,yes,336,James T. Blackledge,https://www.mutualofomaha.com,,
Sonic Automotive,301,15,10454.3,144.1,9300,Retailing,Charlotte,NC,no,no,no,yes,316,David Bruton Smith,https://www.sonicautomotive.com,SAH,567.1
Alcoa,302,-66,10433,-1125,13800,Materials,Pittsburgh,PA,no,no,no,no,236,Roy C. Harvey,https://www.alcoa.com,AA,4247
Fidelity National Information Services,303,58,10333,298,55000,Business Services,Jacksonville,FL,no,no,no,yes,361,Gary A. Norcross,https://www.fisglobal.com,FIS,81343
Henry Schein,304,-62,10305.3,694.7,19000,Health Care,Melville,NY,no,no,no,yes,242,Stanley M. Bergman,https://www.henryschein.com,HSIC,10021
Republic Services,305,9,10299.4,1073.3,36000,Business Services,Phoenix,AZ,no,no,no,yes,314,Donald W. Slager,https://www.republicservices.com,RSG,30177
Liberty Media,306,74,10292,106,6753,Media,Englewood,CO,no,no,no,yes,380,Gregory B. Maffei,https://www.libertymedia.com,LSXMA,13877
Peter Kiewit Sons&#8217;,307,33,10283,419,23000,Engineering & Construction,Omaha,NE,no,no,no,yes,340,Rick Lanoha,https://www.kiewit.com,,
Interpublic Group,308,14,10221.3,656,54300,Business Services,New York,NY,no,no,no,yes,322,Philippe Krakowsky,https://www.interpublic.com,IPG,6278.9
PulteGroup,309,3,10213,1016.7,5245,Engineering & Construction,Atlanta,GA,no,no,no,yes,312,Ryan R. Marshall,https://www.pultegroup.com,PHM,12518
AES,310,-14,10189,303,8000,Energy,Arlington,VA,no,no,no,yes,296,,https://www.aes.com,AES,9040.8
Fiserv,311,177,10187,893,44000,Business Services,Brookfield,WI,no,no,no,yes,488,Frank J. Bisignano,https://www.fiserv.com,FISV,73172
BorgWarner,312,-11,10168,746,29000,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes,301,Frederic B. Lissalde,https://www.borgwarner.com,BWA,5037.4
Oneok,313,-57,10164.4,1278.6,2882,Energy,Tulsa,OK,no,no,no,yes,256,Terry K. Spencer,https://www.oneok.com,OKE,9014.5
O&#8217;Reilly Automotive,314,15,10150,1391,67663,Retailing,Springfield,MO,no,no,no,yes,329,Gregory D. Johnson,https://www.oreillyauto.com,ORLY,22353.4
Assurant,315,63,10086.8,382.6,13900,Financials,New York,NY,no,no,no,yes,378,Alan B. Colberg,https://www.assurant.com,AIZ,6217.9
Newell Brands,316,-73,10083.1,106.6,30000,Household Products,Atlanta,GA,no,no,no,yes,243,Ravichandra K. Saligram,https://www.newellbrands.com,NWL,5949.1
Public Service Enterprise Group,317,6,10076,1693,12992,Energy,Newark,NJ,no,no,no,yes,323,Ralph Izzo,https://www.pseg.com,PEG,22685.3
News Corp.,318,23,10074,155,28000,Media,New York,NY,no,no,no,yes,341,Robert J. Thomson,https://www.newscorp.com,NWSA,5279.7
Calpine,319,11,10072,770,2256,Energy,Houston,TX,no,no,no,yes,330,John B. Hill III,https://www.calpine.com,,
Auto-Owners Insurance,320,62,10007.4,1352.4,6141,Financials,Lansing,MI,no,no,no,yes,382,Jeffrey S. Tagsold,https://www.auto-owners.com,,
Mohawk Industries,321,-6,9970.7,744.2,41800,Household Products,Calhoun,GA,no,no,no,yes,315,Jeffrey S. Lorberbaum,https://www.mohawkind.com,MHK,5464.3
PVH,322,2,9909,417.3,30750,Apparel,New York,NY,no,no,no,yes,324,Stefan Larsson,https://www.pvh.com,PVH,2746.2
Campbell Soup,322,27,9909,211,19000,"Food, Beverages & Tobacco",Camden,NJ,no,no,no,yes,349,Mark A. Clouse,https://www.campbellsoupcompany.com,CPB,13928.5
NRG Energy,324,-33,9871,4438,4577,Energy,Princeton,NJ,no,no,no,yes,291,Mauricio Gutierrez,https://www.nrg.com,NRG,6829.8
Fifth Third Bancorp,325,59,9790,2512,19869,Financials,Cincinnati,OH,no,no,no,yes,384,Greg D. Carmichael,https://www.53.com,FITB,10560.3
Hertz Global Holdings,326,5,9779,-58,38000,Retailing,Estero,FL,no,no,no,no,331,Paul E. Stone,https://www.hertz.com,HTZ,878
Altice USA,327,0,9760.9,138.9,10700,Telecommunications,Long Island City,NY,no,no,no,yes,327,Dexter G. Goei,https://www.alticeusa.com,ATUS,14109.5
Newmont,328,91,9740,2805,16600,Energy,Greenwood Village,CO,no,no,no,yes,419,Thomas R. Palmer,https://www.newmont.com,NEM,51030
Cheniere Energy,329,54,9730,648,1530,Energy,Houston,TX,no,no,no,yes,383,Jack A. Fusco,https://www.cheniere.com,LNG,8511.8
Advance Auto Parts,330,-4,9709,486.9,53000,Retailing,Raleigh,NC,no,no,no,yes,326,Thomas R. Greco,https://www.advanceautoparts.com,AAP,6461.3
Lam Research,331,-44,9653.6,2191.4,10700,Technology,Fremont,CA,no,no,no,yes,287,Timothy M. Archer,https://www.lamresearch.com,LRCX,81078
Owens & Minor,332,-15,9650,-62.4,15400,Health Care,Mechanicsville,VA,no,no,no,no,317,Edward A. Pesicka,https://www.owens-minor.com,OMI,576.9
Equitable Holdings,333,0,9591,-1733,10100,Financials,New York,NY,yes,no,no,no, ,Mark Pearson,https://www.equitableholdings.com,EQH,6706.9
Conagra Brands,334,52,9538.4,678.3,18000,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,386,Sean M. Connolly,https://www.conagrabrands.com,CAG,14290.8
Markel,335,106,9526.2,1790.5,18600,Financials,Glen Allen,VA,no,no,no,yes,441,Thomas S. Gayner/Richard R. Whitt III,https://www.markelcorp.com,MKL,12787.1
Jones Financial (Edward Jones),336,20,9526,1092,49000,Financials,Des Peres,MO,no,no,yes,yes,356,Penny Pennington,https://www.edwardjones.com/index.html,,-
Hormel Foods,337,-9,9497.3,978.8,18800,"Food, Beverages & Tobacco",Austin,MN,no,no,no,yes,328,James P. Snee,https://www.hormelfoods.com,HRL,25081.9
Hilton Worldwide Holdings,338,7,9452,881,173000,"Hotels, Restaurants & Leisure",McLean,VA,no,no,no,yes,345,Christopher J. Nassetta,https://www.hilton.com,HLT,29881
Univar Solutions,339,14,9443.8,-100.2,10300,Wholesalers,Downers Grove,IL,no,no,no,no,353,David C. Jukes,https://www.univarsolutions.com,UNVR,1810.4
United Rentals,340,39,9351,1174,19100,Business Services,Stamford,CT,no,no,no,yes,379,Matthew Flannery,https://www.unitedrentals.com,URI,12557
Pioneer Natural Resources,341,-8,9304,756,2323,Energy,Irving,TX,no,no,no,yes,333,Scott D. Sheffield,https://www.pxd.com,PXD,11624.9
Delek US Holdings,342,-35,9298.2,310.6,3707,Energy,Brentwood,TN,no,no,no,yes,307,Ezra Uzi Yemin,https://www.delekus.com,DK,1190.1
Eastman Chemical,343,-30,9273,759,14500,Chemicals,Kingsport,TN,no,no,no,yes,313,Mark J. Costa,https://www.eastman.com,EMN,6330
EMCOR Group,344,31,9174.6,325.1,36000,Engineering & Construction,Norwalk,CT,no,no,no,yes,375,Anthony J. Guzzi,https://www.emcorgroup.com,EME,3449.8
Avis Budget Group,345,-7,9172,302,25600,Retailing,Parsippany,NJ,no,no,no,yes,338,Joseph A. Ferraro,https://www.avisbudgetgroup.com,CAR,966.6
J.B. Hunt Transport Services,346,8,9165.3,516.3,29056,Transportation,Lowell,AR,no,no,no,yes,354,John N. Roberts III,https://www.jbhunt.com,JBHT,9800.3
Xerox Holdings,347,-29,9145,1353,27000,Technology,Norwalk,CT,no,no,no,yes,318,John G. Visentin,https://www.xerox.com,XRX,4030.2
Wayfair,348,98,9127.1,-984.6,16985,Retailing,Boston,MA,no,yes,no,no,446,Niraj S. Shah,https://www.wayfair.com,W,29247
KKR,349,0,9120.3,2005,1384,Financials,New York,NY,yes,no,no,yes, ,Henry R. Kravis/George R. Roberts,https://www.kkr.com,KKR,19912.6
AGCO,350,-15,9041.4,125.2,20961,Industrials,Duluth,GA,no,no,no,yes,335,Eric P. Hansotia,https://www.agcocorp.com,AGCO,3546.3
Alleghany,351,86,9040.7,857.8,10786,Financials,New York,NY,no,no,no,yes,437,Weston M. Hicks,https://www.alleghany.com,Y,7923.5
Icahn Enterprises,352,-186,8992,-1098,28033,Financials,New York,NY,no,no,no,no,166,Keith Cozza,https://www.ielp.com,IEP,10365.7
Voya Financial,353,-10,8942,-351,6000,Financials,New York,NY,no,no,no,no,343,Rodney O. Martin Jr.,https://www.voya.com,VOYA,5366.2
Ryder System,354,9,8925.8,-24.4,39900,Transportation,Miami,FL,no,no,no,no,363,Robert E. Sanchez,https://www.ryder.com,R,3748
Air Products & Chemicals,355,-11,8918.9,1760,17570,Chemicals,Allentown,PA,no,no,no,yes,344,Seifi Ghasemi,https://www.airproducts.com,APD,44049.6
Mosaic,356,-31,8906.3,-1067.4,12600,Chemicals,Tampa,FL,no,no,no,no,325,James C. O'Rourke,https://www.mosaicco.com,MOS,4098.2
Huntington Ingalls Industries,357,14,8899,549,42000,Aerospace & Defense,Newport News,VA,no,no,no,yes,371,C. Michael Petters,https://www.huntingtoningalls.com,HII,7420.3
Berry Global Group,358,31,8878,404,48000,Materials,Evansville,IN,no,no,no,yes,389,Thomas E. Salmon,https://www.berryglobal.com,BERY,4463
Anixter International,359,5,8845.6,262.9,9400,Wholesalers,Glenview,IL,no,no,no,yes,364,William A. Galvin,https://www.anixter.com,,2972.7
Alaska Air Group,360,8,8781,769,24134,Transportation,Seattle,WA,no,no,no,yes,368,Bradley D. Tilden,https://www.alaskaair.com,ALK,3490
Yum China Holdings,361,1,8776,713,450000,"Hotels, Restaurants & Leisure",Plano,TX,no,no,yes,yes,362,Joey Wat,https://ir.yumchina.com,YUMC,16033.2
Dick&#8217;s Sporting Goods,362,-3,8750.7,297.5,28450,Retailing,Coraopolis,PA,no,no,yes,yes,359,Lauren R. Hobart,https://www.dickssportinggoods.com,DKS,1848.3
